day,PP01,PS01,TX01,WD_u,WD_v
299,1.172060167,0.464038223,0.128299123,1.023485741,1.433404409
300,-0.284752666,0.53898322,0.103886741,0.913806999,1.247983721
301,-0.546255652,0.55279824,0.143351716,0.750150649,1.13453079
302,-0.418597498,0.591871602,0.110989924,1.032181698,1.32662518
303,-0.913831554,0.644404247,0.035060236,1.086394333,1.529541789
304,0.204839793,0.636459123,0.038265643,1.007660665,1.363059984
305,0.455141349,0.695691765,-0.012149003,1.195838049,1.561106595
306,-0.111743707,0.808820757,-0.102951781,1.095011949,1.578061405
307,-0.567704621,0.84362511,-0.098695,0.948825855,1.440799592
308,-0.886304924,0.777514603,-0.030509576,0.784072717,1.294158522
309,-0.829207607,0.625252959,0.050702623,0.454644783,0.81220903
310,-0.833350228,0.557600878,0.105271477,0.461068824,0.962096765
311,-0.861503703,0.61137865,0.078397342,0.535963736,0.894638265
312,-0.456180887,0.625786588,0.024264424,0.616107559,1.096653023
313,0.235936709,0.636044096,-0.16503411,0.948355803,1.130923383
314,-0.380360011,0.691482045,-0.267991792,0.932922437,0.923317146
315,-0.847168052,0.761327909,-0.282403303,0.82018836,0.930712329
316,-1.191496215,0.770696051,-0.204345225,0.621121444,0.950553064
317,-0.682117287,0.743955377,-0.19690868,0.687007031,0.995826014
318,-1.04816696,0.78789069,-0.16385452,0.648697813,1.002319346
319,-0.180560283,0.840601227,-0.176855652,0.845962864,1.228503726
320,0.180937957,0.763877475,-0.209550806,0.90542441,1.229405578
321,0.311048979,0.8201455,-0.354460859,1.317189742,1.55822067
322,-0.703511747,0.941634642,-0.437904022,1.225764677,1.554613263
323,-0.45519974,0.957702758,-0.428698092,1.029518072,1.232111133
324,-0.268073163,0.964521333,-0.470573533,1.086551017,1.352418135
325,-0.309281346,0.929005483,-0.443289106,0.910046586,1.267283345
326,-0.149136318,0.852281731,-0.399105772,0.967236215,0.984823425
327,-0.457570846,0.846826861,-0.418030497,1.119768007,1.277023342
328,-0.747390831,0.916257698,-0.512320758,1.258354931,1.393542568
329,-0.644806439,0.87030647,-0.487267294,0.959872071,1.379654054
330,0.499810801,0.886611744,-0.521988266,1.043619624,1.25303409
331,0.076745574,0.917324956,-0.603790261,1.125957022,1.257182607
